"sample_size","rho","method","variable","beta_true","selection_probability","mean_bias","coverage","type_II_error","Method","Scenario"
250,0.7,"LASSO: lambda.1se","X1",0.166666666666667,0.7078,-0.0525747285334567,0.7004,0.8346,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X2",0.333333333333333,0.9805,-0.0579512961076969,0.9136,0.2968,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X3",0.5,1,-0.0596584400309199,0.917,0.0244,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X4",0.666666666666667,1,-0.0577075523838251,0.9191,4e-04,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X5",0.833333333333333,1,-0.0568402613414125,0.9176,0,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.min","X1",0.166666666666667,0.8201,-0.0399564771477334,0.806,0.8095,"LASSO min","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.min","X2",0.333333333333333,0.9924,-0.0477977934997277,0.92,0.2889,"LASSO min","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.min","X3",0.5,1,-0.0494542250979404,0.9246,0.0238,"LASSO min","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.min","X4",0.666666666666667,1,-0.0476591394579937,0.9233,5e-04,"LASSO min","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.min","X5",0.833333333333333,1,-0.0467931887662401,0.9252,0,"LASSO min","N = 250, rho = 0.7"
500,0,"Backward AIC","X1",0.166666666666667,0.9891,0.000272468304257419,0.9466,0.0416,"AIC","N = 500, rho = 0"
500,0,"Backward AIC","X2",0.333333333333333,1,6.16982753688866e-05,0.9444,0,"AIC","N = 500, rho = 0"
500,0,"Backward AIC","X3",0.5,1,-0.000568629823721615,0.9464,0,"AIC","N = 500, rho = 0"
500,0,"Backward AIC","X4",0.666666666666667,1,0.000868979585893788,0.9462,0,"AIC","N = 500, rho = 0"
500,0,"Backward AIC","X5",0.833333333333333,1,0.000268882115518484,0.9495,0,"AIC","N = 500, rho = 0"
500,0,"Backward BIC","X1",0.166666666666667,0.8917,-0.00899763074502231,0.8667,0.1083,"BIC","N = 500, rho = 0"
500,0,"Backward BIC","X2",0.333333333333333,1,4.82054285525218e-05,0.9472,0,"BIC","N = 500, rho = 0"
500,0,"Backward BIC","X3",0.5,1,-0.000609968941794003,0.9488,0,"BIC","N = 500, rho = 0"
500,0,"Backward BIC","X4",0.666666666666667,1,0.000775983683763356,0.948,0,"BIC","N = 500, rho = 0"
500,0,"Backward BIC","X5",0.833333333333333,1,0.000219656225893377,0.951,0,"BIC","N = 500, rho = 0"
