"n","rho","method","variable","true_positive_rate","type_II_error"
500,0.7,"AIC","X4",1,0
500,0.7,"AIC","X5",1,0
500,0.7,"BIC","X1",0.4057,0.5943
500,0.7,"BIC","X2",0.9746,0.0254
500,0.7,"BIC","X3",1,0
500,0.7,"BIC","X4",1,0
500,0.7,"BIC","X5",1,0
500,0.7,"Backward p-value","X1",0.8514,0.1486
500,0.7,"Backward p-value","X2",0.999,0.001
500,0.7,"Backward p-value","X3",1,0
500,0.7,"Backward p-value","X4",1,0
500,0.7,"Backward p-value","X5",1,0
500,0.7,"Elastic Net lambda.1se","X1",0.9696,0.0304
500,0.7,"Elastic Net lambda.1se","X2",1,0
500,0.7,"Elastic Net lambda.1se","X3",1,0
500,0.7,"Elastic Net lambda.1se","X4",1,0
500,0.7,"Elastic Net lambda.1se","X5",1,0
500,0.7,"Elastic Net lambda.min","X1",0.9539,0.0461
500,0.7,"Elastic Net lambda.min","X2",1,0
500,0.7,"Elastic Net lambda.min","X3",1,0
500,0.7,"Elastic Net lambda.min","X4",1,0
500,0.7,"Elastic Net lambda.min","X5",1,0
500,0.7,"LASSO lambda.1se","X1",0.8699,0.1301
500,0.7,"LASSO lambda.1se","X2",0.999,0.001
500,0.7,"LASSO lambda.1se","X3",1,0
500,0.7,"LASSO lambda.1se","X4",1,0
500,0.7,"LASSO lambda.1se","X5",1,0
500,0.7,"LASSO lambda.min","X1",0.9401,0.0599
500,0.7,"LASSO lambda.min","X2",0.9998,0.000199999999999978
500,0.7,"LASSO lambda.min","X3",1,0
500,0.7,"LASSO lambda.min","X4",1,0
500,0.7,"LASSO lambda.min","X5",1,0
