"sample_size","rho","method","mean_TP","mean_FP","mean_FN","mean_TN","mean_model_size","mcse_model_size","mean_true_positive_rate","mcse_true_positive_rate","mean_false_positive_rate","mcse_false_positive_rate","mean_true_negative_rate","mcse_true_negative_rate","mean_false_negative_rate","mcse_false_negative_rate","exact_model_recovery","mcse_exact_model_recovery"
250,0.7,"LASSO: lambda.1se",4.6883,2.9723,0.3117,12.0277,7.6606,0.0172351521329783,0.93766,0.000946077135435911,0.198153333333333,0.00111527028537822,0.801846666666667,0.00111527028537822,0.06234,0.000946077135435911,0.0368,0.00188270443777031
250,0.7,"LASSO: lambda.min",4.8125,5.3029,0.1875,9.6971,10.1154,0.0254140290250706,0.9625,0.000786280372184355,0.353526666666667,0.00166826294061002,0.646473333333333,0.00166826294061002,0.0375,0.000786280372184355,0.0031,0.000555912762940374
500,0,"Backward AIC",4.9891,2.4948,0.0109,12.5052,7.4839,0.0149698526595576,0.99782,0.000207675402749798,0.16632,0.000995812583796762,0.83368,0.000995812583796762,0.00218,0.000207675402749798,0.0705,0.00255987792677698
500,0,"Backward BIC",4.8917,0.2032,0.1083,14.7968,5.0949,0.00550203837160595,0.97834,0.000621548929938127,0.0135466666666667,0.000303410593125923,0.986453333333333,0.000303410593125923,0.02166,0.000621548929938127,0.7292,0.00444372996479309
500,0,"Backward p-value",4.9957,4.5982,0.0043,10.4018,9.5939,0.0182825519053117,0.99914,0.000130873040674073,0.306546666666667,0.00121846730847148,0.693453333333333,0.00121846730847148,0.00086,0.000130873040674073,0.0045,0.000669309345519693
500,0,"Elastic net: lambda.1se",4.9206,0.7324,0.0794,14.2676,5.653,0.0112397390171355,0.98412,0.000540751145334079,0.0488266666666667,0.000709147654375474,0.951173333333333,0.000709147654375474,0.01588,0.000540751145334079,0.4978,0.00499995159976574
500,0,"Elastic net: lambda.min",4.9978,7.5502,0.0022,7.4498,12.548,0.0299773158229084,0.99956,9.37097548380913e-05,0.503346666666667,0.0019972400376239,0.496653333333333,0.0019972400376239,0.00044,9.37097548380913e-05,0.0017,0.000411959949509658
500,0,"LASSO: lambda.1se",4.8338,0.2992,0.1662,14.7008,5.133,0.0082618354977922,0.96676,0.000744557369561041,0.0199466666666667,0.000461845261597563,0.980053333333333,0.000461845261597563,0.03324,0.000744557369561041,0.6359,0.00481176880159469
500,0,"LASSO: lambda.min",4.996,6.0587,0.004,8.9413,11.0547,0.0311776842597326,0.9992,0.000126244183071443,0.403913333333333,0.00207623850400705,0.596086666666667,0.00207623850400705,8e-04,0.000126244183071443,0.0101,0.000999899494949367
500,0.35,"Backward AIC",4.9517,2.5595,0.0483,12.4405,7.5112,0.0150721655052385,0.99034,0.000428820275503466,0.170633333333333,0.000998595484426188,0.829366666666667,0.000998595484426189,0.00966,0.000428820275503466,0.0679,0.00251574223639863
