"n","rho","method","variable","selection_rate","true_positive_rate","type_II_error","false_positive_rate","type_I_error","mean_beta_hat_uncond","bias_uncond","mean_beta_hat_selected","bias_selected","coverage_selected","coverage_uncond"
250,0,"AIC","X8",0.1742,NA,NA,0.1742,0.0554,-0.000749489130208629,-0.000749489130208629,-0.00430246343403346,-0.00430246343403346,0.681974741676234,0.1188
250,0,"AIC","X9",0.1828,NA,NA,0.1828,0.0563,3.09614040869354e-05,3.09614040869354e-05,0.000169373107696583,0.000169373107696583,0.692013129102845,0.1265
250,0,"BIC","X1",0.6135,0.6135,0.3865,NA,NA,0.12756743160012,-0.0390992350665466,0.207933873838826,0.0412672071721598,0.950937245313773,0.5834
250,0,"BIC","X10",0.0216,NA,NA,0.0216,0.0216,-0.000134341476972157,-0.000134341476972157,-0.00621951282278506,-0.00621951282278506,0,0
250,0,"BIC","X11",0.0205,NA,NA,0.0205,0.0205,4.63152421393627e-05,4.63152421393627e-05,0.00225928010435916,0.00225928010435916,0,0
250,0,"BIC","X12",0.0221,NA,NA,0.0221,0.0221,-0.000217584961689094,-0.000217584961689094,-0.00984547337959702,-0.00984547337959702,0,0
250,0,"BIC","X13",0.0187,NA,NA,0.0187,0.0187,-0.000325126820236081,-0.000325126820236081,-0.0173864609751915,-0.0173864609751915,0,0
250,0,"BIC","X14",0.0213,NA,NA,0.0213,0.0213,-9.26283816865607e-06,-9.26283816865607e-06,-0.000434875031392304,-0.000434875031392304,0,0
250,0,"BIC","X15",0.022,NA,NA,0.022,0.022,0.000281576630318618,0.000281576630318618,0.0127989377417553,0.0127989377417553,0,0
250,0,"BIC","X16",0.0236,NA,NA,0.0236,0.0236,-0.000582669304629037,-0.000582669304629037,-0.0246893773147897,-0.0246893773147897,0,0
250,0,"BIC","X17",0.0207,NA,NA,0.0207,0.0207,-0.000340789352413545,-0.000340789352413545,-0.0164632537397848,-0.0164632537397848,0,0
250,0,"BIC","X18",0.0199,NA,NA,0.0199,0.0199,0.000346627012965341,0.000346627012965341,0.01741844286258,0.01741844286258,0,0
250,0,"BIC","X19",0.0218,NA,NA,0.0218,0.0218,7.70338674607764e-05,7.70338674607764e-05,0.00353366364498974,0.00353366364498974,0,0
250,0,"BIC","X2",0.9966,0.9966,0.00339999999999996,NA,NA,0.332533062077068,-0.000800271256265696,0.333667531684796,0.00033419835146261,0.945815773630343,0.9426
250,0,"BIC","X20",0.0243,NA,NA,0.0243,0.0243,-0.000238902216591035,-0.000238902216591035,-0.00983136693790268,-0.00983136693790268,0,0
250,0,"BIC","X3",1,1,0,NA,NA,0.499527171370236,-0.000472828629764112,0.499527171370236,-0.000472828629764112,0.9458,0.9458
250,0,"BIC","X4",1,1,0,NA,NA,0.667931400365397,0.00126473369873073,0.667931400365397,0.00126473369873073,0.946,0.946
250,0,"BIC","X5",1,1,0,NA,NA,0.834323335634973,0.00099000230163916,0.834323335634973,0.00099000230163916,0.9464,0.9464
250,0,"BIC","X6",0.0222,NA,NA,0.0222,0.0222,-0.000190590502120659,-0.000190590502120659,-0.00858515775318284,-0.00858515775318284,0,0
250,0,"BIC","X7",0.0199,NA,NA,0.0199,0.0199,0.000354182123667248,0.000354182123667248,0.0177980966666959,0.0177980966666959,0,0
250,0,"BIC","X8",0.0228,NA,NA,0.0228,0.0228,-0.000184405331283902,-0.000184405331283902,-0.00808795312648694,-0.00808795312648694,0,0
250,0,"BIC","X9",0.0216,NA,NA,0.0216,0.0216,-9.48091005454098e-05,-9.48091005454098e-05,-0.00438931021043564,-0.00438931021043564,0,0
